comparacion,diff_mean,ci_ajustado_lower,ci_ajustado_upper,significativo_bonferroni,n_series
ETS vs SNaive,-3.8520620905603433,-4.862496082643546,-3.0997936384048606,True,200
HoltWinters vs SNaive,-2.7254976955005383,-3.9104870832027787,-1.8270182533701276,True,200
SARIMA vs SNaive,-3.154321315266525,-4.328803817466435,-2.218239968497312,True,200
LightGBM vs SNaive,-1.9980060686389733,-2.8040745485191176,-1.2500533646223602,True,200
MLP vs SNaive,-1.8979818556570205,-2.803206544449083,-1.1188751393934337,True,200
NBEATS vs SNaive,-1.0654441682282711,-1.674279407140841,-0.4642740880451894,True,200
ETS vs SARIMA,-0.6977407752938184,-1.3701636021174084,-0.1024501735118839,True,200
ETS vs HoltWinters,-1.1265643950598045,-1.8908585771512085,-0.4501324026462373,True,200
ETS vs LightGBM,-1.85405602192137,-2.7998125152272126,-1.1087626712844443,True,200
SARIMA vs HoltWinters,-0.42882361976598604,-1.1089826690826352,0.34439725131927323,False,200
