id,cuartil_longitud,longitud,n_folds,decil_volumen
M39079,0,113,4,4
M46593,0,95,2,0
M45962,0,73,1,3
M44772,0,135,5,5
M46625,0,87,2,3
M39094,0,137,5,8
M45995,0,75,1,8
M45272,0,74,1,3
M37118,0,139,5,9
M39087,0,137,5,0
M45970,0,75,1,3
M46617,0,111,4,7
M40125,0,150,5,8
M46459,0,138,5,1
M42738,0,151,5,4
M39541,0,115,4,4
M46529,0,147,5,4
M46042,0,75,1,4
M38673,0,77,1,8
M37201,0,139,5,1
M44817,0,74,1,8
M46730,0,141,5,1
M39095,0,137,5,0
M45468,0,150,5,2
M46751,0,81,1,6
M39224,0,132,5,7
M46521,0,110,4,8
M44695,0,80,1,9
M37204,0,139,5,2
M46083,0,75,1,4
M45565,0,153,5,1
M42177,0,74,1,4
M43337,0,134,5,8
M45245,0,74,1,3
M42937,0,79,1,7
M41907,0,78,1,2
M46331,0,143,5,3
M46221,0,150,5,3
M39103,0,137,5,2
M39273,0,149,5,6
M39470,0,149,5,0
M39180,0,125,5,5
M44925,0,73,1,7
M41909,0,78,1,3
M41936,0,78,1,0
M44777,0,135,5,4
M39556,0,115,4,6
M39873,0,78,1,6
M42944,0,82,1,1
M45219,0,74,1,7
M44243,1,203,5,9
M42731,1,175,5,3
M42859,1,175,5,6
M38859,1,186,5,8
M44488,1,206,5,5
M41191,1,199,5,6
M44366,1,193,5,2
M40374,1,158,5,4
M43224,1,175,5,8
M43545,1,181,5,2
M42814,1,175,5,0
M45414,1,188,5,1
M42565,1,175,5,5
M43757,1,181,5,8
M40474,1,162,5,5
M45410,1,189,5,2
M45330,1,187,5,3
M40516,1,162,5,5
M43015,1,175,5,7
M46350,1,204,5,3
M40885,1,198,5,5
M43776,1,181,5,3
M44373,1,193,5,9
M42928,1,175,5,4
M41239,1,187,5,9
M43744,1,181,5,0
M42909,1,175,5,4
M41477,1,197,5,2
M36854,1,174,5,3
M41029,1,198,5,0
M43692,1,181,5,2
M43284,1,193,5,1
M43018,1,175,5,5
M40624,1,163,5,0
M40467,1,158,5,9
M43724,1,181,5,5
M43613,1,181,5,7
M36861,1,174,5,4
M40385,1,158,5,9
M36899,1,174,5,8
M40648,1,163,5,2
M40671,1,163,5,6
M40617,1,162,5,9
M43554,1,181,5,1
M43262,1,175,5,1
M37388,1,187,5,8
M42750,1,175,5,3
M43716,1,181,5,2
M44607,1,206,5,3
M38665,1,197,5,4
M42127,2,247,5,0
M37862,2,234,5,9
M37705,2,234,5,9
M41260,2,217,5,5
M40221,2,220,5,7
M39045,2,233,5,9
M36801,2,224,5,4
M39023,2,232,5,6
M37368,2,234,5,9
M39140,2,213,5,1
M39381,2,213,5,0
M42259,2,247,5,6
M37563,2,234,5,9
M39132,2,269,5,9
M46141,2,237,5,4
M38921,2,222,5,0
M37445,2,234,5,9
M37614,2,234,5,8
M37538,2,234,5,6
M40296,2,224,5,7
M37933,2,234,5,8
M38780,2,233,5,7
M37633,2,234,5,7
M41350,2,235,5,2
M39282,2,213,5,1
M42140,2,243,5,0
M39302,2,213,5,7
M38994,2,233,5,6
M42050,2,247,5,6
M46160,2,236,5,1
M44737,2,262,5,3
M43341,2,266,5,7
M38926,2,233,5,4
M37736,2,234,5,7
M39128,2,213,5,2
M41862,2,243,5,0
M37763,2,258,5,9
M40202,2,224,5,9
M37537,2,209,5,6
M41304,2,228,5,2
M37556,2,234,5,5
M41500,2,240,5,4
M39350,2,213,5,5
M37576,2,258,5,8
M37398,2,234,5,8
M42088,2,243,5,1
M37501,2,234,5,6
M39520,2,213,5,7
M39998,2,267,5,5
M46194,2,237,5,5
M38320,3,306,5,1
M43842,3,317,5,7
M41143,3,293,5,3
M38421,3,282,5,6
M43306,3,285,5,2
M38466,3,306,5,7
M41202,3,291,5,7
M41807,3,366,5,0
M37955,3,306,5,6
M40923,3,559,5,5
M38628,3,359,5,2
M36980,3,316,5,0
M43324,3,542,5,1
M42315,3,548,5,9
M38096,3,306,5,2
M38354,3,306,5,9
M41411,3,290,5,8
M40769,3,305,5,0
M43871,3,317,5,5
M38530,3,306,5,5
M43857,3,317,5,6
M37744,3,306,5,6
M38592,3,307,5,9
M41425,3,290,5,1
M43880,3,317,5,5
M41626,3,366,5,0
M37646,3,306,5,6
M43919,3,317,5,1
M38310,3,306,5,8
M43862,3,317,5,1
M43873,3,317,5,4
M41687,3,477,5,8
M37074,3,642,5,0
M41326,3,270,5,5
M43811,3,317,5,4
M37170,3,379,5,2
M43437,3,282,5,2
M38058,3,306,5,4
M36989,3,292,5,2
M36818,3,362,5,3
M41488,3,284,5,1
M42605,3,414,5,5
M38157,3,306,5,8
M40926,3,349,5,1
M38202,3,306,5,7
M37839,3,645,5,3
M38226,3,306,5,6
M38717,3,304,5,3
M41647,3,295,5,7
M40162,3,427,5,0
